Indexed from docIDs:1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
mendapatkan 1 7204
keluarganya 1 7208
aek 1 7212
nata 1 7216
pihak 4 7220
menuju 1 7236
sana 1 7240
tanpa 2 7244
perlawanan 2 7252
diperiksa 1 7260
pria 4 7264
otak 1 7280
pasien 1 7284
jiwa 1 7288
indiana 1 7292
bersalah 1 7296
membobol 2 7300
museum 1 7308
kesehatan 1 7312
manusia 1 7316
diawetkan 1 7320
jaringan 2 7324
lain 3 7332
dijual 1 7344
demikian 1 7348
berwenang 1 7352
david 1 7356
charl 1 7360
beras 1 7364
indianapoli 1 7368
dakwaan 1 7372
termasuk 2 7376
menampung 1 7384
curian 3 7388
perampokan 4 7400
pengadilan 1 7416
marion 1 7420
counti 1 7424
hakim 1 7428
ami 1 7432
barbar 1 7436
menjatuhkan 1 7440
tahanan 1 7444
masa 2 7448
percobaan 1 7456
juru 1 7460
bicara 1 7464
kejaksaan 1 7468
anthoni 1 7472
deer 1 7476
beberapa 4 7480
kesempatan 2 7496
terbukti 2 7504
sejarah 1 7512
botol 1 7516
berisi 3 7520
kantor 2 7532
beka 1 7540
penyandang 1 7544
gangguan 1 7548
didirikan 1 7552
diubah 1 7556
menjadi 5 7560
ruang 1 7580
otopsi 1 7584
anatomi 1 7588
menampilkan 1 7592
beragam 2 7596
spesimen 1 7604
sebagian 1 7608
koleksi 1 7612
diampu 1 7616
komunita 1 7620
patolog 1 7624
desemb 2 7628
san 1 7636
diego 1 7640
memb 2 7644
senyawa 1 7652
senilai 1 7656
dolar 1 7660
ebay 1 7664
memberitahu 1 7668
dokumen 3 7672
ditemukan 1 7684
mencocokkan 1 7688
dibelinya 1 7692
dicuri 1 7696
penelitian 1 7700
secara 3 7704
maya 1 7716
penel 1 7720
mampu 1 7724
mengidentifikasi 1 7728
meninggalkan 1 7732
selembar 1 7736
kerta 1 7740
sidik 1 7744
jarinya 1 7748
berdarah 1 7752
menemukan 2 7756
diperintahkan 1 7764
menjauhi 1 7768
mesin 1 7772
ekg 1 7776
timbangan 1 7780
bayi 1 7784
barang-barang 1 7788
bersejarah 1 7792
memperoleh 1 7796
ijazah 1 7800
sekolah 2 7804
menengah 1 7812
sertifikat 1 7816
ged 1 7820
perjanjian 1 7824
motor 5 7828
burung 1 7848
lokalisasi 1 7852
semarang 2 7856
sepeda 4 7864
gara-gara 1 7880
ketahuan 1 7884
seekor 1 7888
gambilangu 1 7892
wilayah 4 7896
perbatasan 1 7912
kota 4 7916
kabupaten 5 7932
kendal 1 7952
tugu 1 7956
ama 1 7960
maria 1 7964
senin 3 7968
solichin 1 7980
beba 1 7984
agustu 1 7988
menuturkan 1 7992
berbagai 1 7996
