Indexed from docIDs:1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
kapolresta 1 8844
wisnu 1 8848
andayana 1 8852
data 2 8856
sejak 1 8864
januari 1 8868
posisi 1 8872
curat 1 8876
penganiyaan 1 8880
kasusujar 1 8884
turun 1 8888
banding 1 8892
kasusjelas 1 8896
kampuskampus 1 8900
koskosan 1 8904
mukim 1 8908
kunci 1 8912
letter 1 8916
t 1 8920
tekan 1 8924
cu 1 8928
ranmor 1 8932
instruksi 1 8936
razia 1 8940
tanpa 1 8944
plat 1 8948
kami 1 8952
patroli 1 8956
gandaungkap 1 8960
aktif 1 8964
din 1 8968
yakin 1 8972
cegah 1 8976
makin 1 8980
meminimalisir 1 8984
padangjelas 1 8988
geng 1 8992
klewang 1 8996
hermansyah 1 9000
pimpin 1 9004
afiliasi 1 9008
partai 1 9012
tentu 1 9016
bukan 1 9020
pelihara 1 9024
target 1 9028
asli 1 9032
mardijo 1 9036
umur 1 9040
perkosa 1 9044
cuat 1 9048
mei 1 9052
mapolresta 1 9056
pilah 1 9060
bawah 1 9064
namun 1 9068
terus 1 9072
ikutikutan 1 9076
bina 1 9080
ke 1 9084
dinas 1 9088
pantau 1 9092
jebak 1 9096
aktivitas 1 9100
genuk 1 9104
anas 1 9108
pace 1 9112
rt 1 9116
rw 1 9120
bangetayu 1 9124
wetan 1 9128
letus 1 9132
ramairamai 1 9136
lasmi 1 9140
bunyi 1 9144
huni 1 9148
sultan 1 9152
buron 1 9156
serpong 1 9160
resmi 1 9164
